"GlobalEventID","dateEvent","MonthYear","Year","FractionDate","Actor1Code","Actor1Name","Actor1CountryCode","Actor1KnownGroupCode","Actor1EthnicCode","Actor1Religion1Code","Actor1Religion2Code","Actor1Type1Code","Actor1Type2Code","Actor1Type3Code","Actor2Code","Actor2Name","Actor2CountryCode","Actor2KnownGroupCode","Actor2EthnicCode","Actor2Religion1Code","Actor2Religion2Code","Actor2Type1Code","Actor2Type2Code","Actor2Type3Code","IsRootEvent","EventCode","EventBaseCode","EventRootCode","QuadClass","GoldsteinScale","NumMentions","NumSources","NumArticles","AvgTone","Actor1Geo_Type","Actor1Geo_Fullname","Actor1Geo_CountryCode","Actor1Geo_ADM1Code","Actor1Geo_Lat","Actor1Geo_Long","Actor1Geo_FeatureID","Actor2Geo_Type","Actor2Geo_Fullname","Actor2Geo_CountryCode","Actor2Geo_ADM1Code","Actor2Geo_Lat","Actor2Geo_Long","Actor2Geo_FeatureID","ActionGeo_Type","ActionGeo_Fullname","ActionGeo_CountryCode","ActionGeo_ADM1Code","ActionGeo_Lat","ActionGeo_Long","ActionGeo_FeatureID","dateDocument","SOURCEURL","river"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253531418,"2013-04-03",201304,2013,2013.2548,"ARE","UNITED ARAB EMIRATES","ARE",NA,NA,NA,NA,NA,NA,NA,"EUR","EUROPE","EUR",NA,NA,NA,NA,NA,NA,NA,1,172,172,17,4,-5,2,1,2,1.82370820668693,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-03","http://www.bloomberg.com/news/2013-04-03/wizz-air-nasair-will-be-first-to-fly-passengers-to-dubai-world.html","fly"
253531426,"2013-04-03",201304,2013,2013.2548,"ARE","DUBAI","ARE",NA,NA,NA,NA,NA,NA,NA,"GBR","LONDON","GBR",NA,NA,NA,NA,NA,NA,NA,1,46,46,4,1,7,9,1,9,1.82370820668693,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-03","http://www.bloomberg.com/news/2013-04-03/wizz-air-nasair-will-be-first-to-fly-passengers-to-dubai-world.html","fly"
253531427,"2013-04-03",201304,2013,2013.2548,"ARE","DUBAI","ARE",NA,NA,NA,NA,NA,NA,NA,"GBR","LONDON","GBR",NA,NA,NA,NA,NA,NA,NA,1,172,172,17,4,-5,5,1,5,1.82370820668693,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-03","http://www.bloomberg.com/news/2013-04-03/wizz-air-nasair-will-be-first-to-fly-passengers-to-dubai-world.html","fly"
253540668,"2013-04-03",201304,2013,2013.2548,"GBR","LONDON","GBR",NA,NA,NA,NA,NA,NA,NA,"ARE","DUBAI","ARE",NA,NA,NA,NA,NA,NA,NA,1,46,46,4,1,7,9,1,9,1.82370820668693,4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831",4,"Dubai, Dubayy, United Arab Emirates","AE","AE03",25.2522,55.28,"-782831","2013-04-03","http://www.bloomberg.com/news/2013-04-03/wizz-air-nasair-will-be-first-to-fly-passengers-to-dubai-world.html","fly"
253555402,"2013-04-03",201304,2013,2013.2548,"PSE","PALESTINIAN","PSE",NA,NA,NA,NA,NA,NA,NA,"QAT","QATAR","QAT",NA,NA,NA,NA,NA,NA,NA,0,37,37,3,1,5,1,1,1,3.69318181818182,4,"Amman, (JO11), Jordan","JO","JO11",31.95,35.9333,"-970362",4,"Jerusalem, Israel (general), Israel","IS","IS00",31.7667,35.2333,"-797092",1,"Qatar","QA","QA",25.5,51.25,"QA","2013-04-03","http://www.channelnewsasia.com/news/world/afp_world/abbas-to-meet-kerry-in-jordan-on-sunday/626146.html","jordan"
253555405,"2013-04-03",201304,2013,2013.2548,"PSE","PALESTINIAN","PSE",NA,NA,NA,NA,NA,NA,NA,"QAT","QATAR","QAT",NA,NA,NA,NA,NA,NA,NA,0,42,42,4,1,1.9,1,1,1,3.69318181818182,4,"Amman, (JO11), Jordan","JO","JO11",31.95,35.9333,"-970362",4,"Jerusalem, Israel (general), Israel","IS","IS00",31.7667,35.2333,"-797092",4,"Jerusalem, Israel (general), Israel","IS","IS00",31.7667,35.2333,"-797092","2013-04-03","http://www.channelnewsasia.com/news/world/afp_world/abbas-to-meet-kerry-in-jordan-on-sunday/626146.html","jordan"
253555770,"2013-04-03",201304,2013,2013.2548,"QAT","QATAR","QAT",NA,NA,NA,NA,NA,NA,NA,"PSE","PALESTINIAN","PSE",NA,NA,NA,NA,NA,NA,NA,0,43,43,4,1,2.8,1,1,1,3.69318181818182,4,"Jerusalem, Israel (general), Israel","IS","IS00",31.7667,35.2333,"-797092",4,"Amman, (JO11), Jordan","JO","JO11",31.95,35.9333,"-970362",4,"Jerusalem, Israel (general), Israel","IS","IS00",31.7667,35.2333,"-797092","2013-04-03","http://www.channelnewsasia.com/news/world/afp_world/abbas-to-meet-kerry-in-jordan-on-sunday/626146.html","jordan"
253558151,"2013-04-03",201304,2013,2013.2548,"TJK","TAJIKISTAN","TJK",NA,NA,NA,NA,NA,NA,NA,"UZB","UZBEKISTAN","UZB",NA,NA,NA,NA,NA,NA,NA,0,30,30,3,1,4,10,1,10,3.17563188593649,4,"Vakhsh, Khatlon, Tajikistan","TI","TI02",37.3853,68.6088,"-2557294",4,"Nurek, Uzbekistan (general), Uzbekistan","UZ","UZ00",40.35,67.4,"-2578352",4,"Nurek, Uzbekistan (general), Uzbekistan","UZ","UZ00",40.35,67.4,"-2578352","2013-04-03","http://www.worldpolicy.org/blog/2013/04/02/dammed-or-damned-tajikistan-and-uzbekistan-wrestle-over-water-energy-nexus","water"
